  validate cr(K7) = 9, expected 9  OK
  validate cr(K8) = 18, expected 18  OK
  validate cr(K5,5) = 16, expected 16  OK

=== less balanced triples (max part >= 3x min) ===
               graph  |V|  |E|  Harborth  found  verdict
K_(1, 1, 1, 1, 2, 2)    8   26        12     12  meets bound   (0.4s)
K_(1, 1, 1, 1, 1, 4)    9   30        19     19  meets bound   (0.6s)
K_(1, 1, 1, 1, 2, 3)    9   32        22     22  meets bound   (0.8s)
K_(1, 1, 1, 2, 2, 2)    9   33        21     22  above by 1   (0.8s)
K_(1, 1, 1, 1, 1, 5)   10   35        29     29  meets bound   (1.0s)
K_(1, 1, 1, 1, 2, 4)   10   38        34     34  meets bound   (1.3s)
K_(1, 1, 1, 1, 3, 3)   10   39        38     39  above by 1   (1.4s)
K_(1, 1, 1, 2, 2, 3)   10   40        38     39  above by 1   (1.5s)
K_(1, 1, 2, 2, 2, 2)   10   41        36     41  above by 5   (1.7s)
K_(1, 1, 1, 1, 1, 6)   11   40        40     40  meets bound   (1.4s)
K_(1, 1, 1, 1, 2, 5)   11   44        50     51  above by 1   (2.0s)
K_(1, 1, 1, 1, 3, 4)   11   46        57     58  above by 1   (2.4s)
K_(1, 1, 1, 2, 2, 4)   11   47        56     60  above by 4   (2.6s)
K_(1, 1, 1, 2, 3, 3)   11   48        62     64  above by 2   (2.7s)
K_(1, 1, 2, 2, 2, 3)   11   49        60     64  above by 4   (2.9s)
K_(1, 2, 2, 2, 2, 2)   11   50        60     63  above by 3   (3.0s)
K_(1, 1, 1, 1, 2, 6)   12   50        68     68  meets bound   (2.6s)
K_(1, 1, 1, 1, 3, 5)   12   53        82     84  above by 2   (3.3s)
K_(1, 1, 1, 1, 4, 4)   12   54        84     86  above by 2   (3.6s)
K_(1, 1, 1, 2, 2, 5)   12   54        82     84  above by 2   (3.6s)
K_(1, 1, 1, 2, 3, 4)   12   56        90     93  above by 3   (4.1s)
K_(1, 1, 1, 3, 3, 3)   12   57        96     99  above by 3   (4.4s)
K_(1, 1, 2, 2, 2, 4)   12   57        87     97  above by 10   (4.4s)
K_(1, 1, 2, 2, 3, 3)   12   58        96     98  above by 2   (4.6s)
K_(1, 2, 2, 2, 2, 3)   12   59        94     99  above by 5   (4.9s)
K_(2, 2, 2, 2, 2, 2)   12   60        90    104  above by 14   (5.2s)
K_(1, 1, 1, 1, 3, 6)   13   60       110    113  above by 3   (5.0s)
K_(1, 1, 1, 1, 4, 5)   13   62       119    120  above by 1   (5.7s)
K_(1, 1, 1, 2, 2, 6)   13   61       109    112  above by 3   (5.3s)
K_(1, 1, 1, 2, 3, 5)   13   64       126    129  above by 3   (6.2s)
K_(1, 1, 1, 2, 4, 4)   13   65       128    133  above by 5   (6.7s)
K_(1, 1, 1, 3, 3, 4)   13   66       136    139  above by 3   (7.0s)
K_(1, 1, 2, 2, 2, 5)   13   65       123    134  above by 11   (6.6s)
K_(1, 1, 2, 2, 3, 4)   13   67       134    140  above by 6   (7.4s)
K_(1, 1, 2, 3, 3, 3)   13   68       144    146  above by 2   (7.7s)
K_(1, 2, 2, 2, 2, 4)   13   68       134    141  above by 7   (7.7s)
K_(1, 2, 2, 2, 3, 3)   13   69       141    147  above by 6   (8.1s)
K_(2, 2, 2, 2, 2, 3)   13   70       140    149  above by 9   (8.6s)
K_(1, 1, 1, 1, 4, 6)   14   70       158    162  above by 4   (8.3s)
K_(1, 1, 1, 1, 5, 5)   14   71       167    170  above by 3   (8.9s)
K_(1, 1, 1, 2, 3, 6)   14   72       166    173  above by 7   (9.2s)
K_(1, 1, 1, 2, 4, 5)   14   74       178    182  above by 4   (10.3s)
K_(1, 1, 1, 3, 3, 5)   14   75       186    191  above by 5   (10.7s)
K_(1, 1, 1, 3, 4, 4)   14   76       189    197  above by 8   (11.2s)
K_(1, 1, 2, 2, 2, 6)   14   73       162    172  above by 10   (9.7s)
K_(1, 1, 2, 2, 3, 5)   14   76       186    194  above by 8   (11.2s)
K_(1, 1, 2, 2, 4, 4)   14   77       185    199  above by 14   (11.8s)
K_(1, 1, 2, 3, 3, 4)   14   78       198    208  above by 10   (12.3s)
K_(1, 1, 3, 3, 3, 3)   14   79       207    215  above by 8   (13.1s)
K_(1, 2, 2, 2, 2, 5)   14   77       184    194  above by 10   (11.7s)
K_(1, 2, 2, 2, 3, 4)   14   79       195    208  above by 13   (12.8s)
K_(1, 2, 2, 3, 3, 3)   14   80       207    216  above by 9   (13.5s)
K_(2, 2, 2, 2, 2, 4)   14   80       190    213  above by 23   (13.4s)
K_(2, 2, 2, 2, 3, 3)   14   81       205    226  above by 21   (14.1s)
K_(1, 1, 1, 1, 5, 6)   15   80       220    227  above by 7   (13.2s)
K_(1, 1, 1, 2, 4, 6)   15   83       232    244  above by 12   (15.1s)
K_(1, 1, 1, 2, 5, 5)   15   84       242    244  above by 2   (15.6s)
K_(1, 1, 1, 3, 3, 6)   15   84       242    253  above by 11   (16.0s)
K_(1, 1, 1, 3, 4, 5)   15   86       255    263  above by 8   (17.3s)
K_(1, 1, 1, 4, 4, 4)   15   87       258    270  above by 12   (18.1s)
K_(1, 1, 2, 2, 3, 6)   15   85       240    251  above by 11   (16.7s)
K_(1, 1, 2, 2, 4, 5)   15   87       252    269  above by 17   (18.1s)
K_(1, 1, 2, 3, 3, 5)   15   88       266    275  above by 9   (18.5s)
K_(1, 1, 2, 3, 4, 4)   15   89       267    284  above by 17   (19.8s)
K_(1, 1, 3, 3, 3, 4)   15   90       280    292  above by 12   (20.1s)
K_(1, 2, 2, 2, 2, 6)   15   86       240    256  above by 16   (17.2s)
K_(1, 2, 2, 2, 3, 5)   15   89       262    282  above by 20   (20.0s)
K_(1, 2, 2, 2, 4, 4)   15   90       267    287  above by 20   (20.1s)
K_(1, 2, 2, 3, 3, 4)   15   91       277    292  above by 15   (21.2s)
K_(1, 2, 3, 3, 3, 3)   15   92       292    298  above by 6   (21.9s)
K_(2, 2, 2, 2, 2, 5)   15   90       260    292  above by 32   (20.4s)
K_(2, 2, 2, 2, 3, 4)   15   92       276    298  above by 22   (22.4s)
K_(2, 2, 2, 3, 3, 3)   15   93       288    307  above by 19   (22.6s)
-- k = 6 parts: meets 8/74 = 0.11
